instructionCount,67
NONE,0
ALU,45
SHIFT,3
LOAD,9
STORE,3
BRANCH,2
JUMP,4
OTHER,1
NONE,0
sll,2
srl,1
jr,1
add,3
addu,4
sub,2
subu,2
and,1
or,1
xor,1
nor,1
slt,1
sltu,1
j,1
jal,2
beq,1
bne,1
addi,1
addiu,3
slti,1
sltiu,1
andi,1
ori,17
xori,1
lui,3
lb,1
lh,1
lw,5
lbu,1
lhu,1
sb,1
sh,1
sw,1
syscall,1
